Name,Category,Followers,Description
Cloud Creative Ltd,"IT Services and IT Consulting • Dhaka, Dhaka`​",1K followers,"Cloud Creative Limited is a technology and software development start-up, help companies to achieve time to market by providing latest technologies. We work as..."
Web Integrator Ltd,Information Technology & Services • Dhaka,1K followers,SEO | Web Development | Software Development | Shopify | E-Commerce | SMM
MicroBuddy,"Software Development • Dhaka, Dhaka",1K followers,"...dedicated to addressing business challenges and delivering value through our Digital Services and Software solutions to our clients.  MicroBuddy is an emerging Digital Service Provider, specializing in website and app development, software solutions, IT services, Graphic Design, UI/UX Design, Digital marketing, and video..."
Incevio,IT Services and IT Consulting • Dhaka,1K followers,We provide software services & support. We have a skilled team to provide 360-degree support to our clients • Specialties: Software Development
Cloudly Infotech Limited,"IT System Custom Software Development • Dhaka, Dhaka",1K followers,Leading Cloud Solution & Service Provider in Bangladesh.
Together Initiatives Limited,Information Technology & Services • Dhaka,1K followers,Together Initiatives is a software development house having expertise in managing end-to-end life cycle of any business/research based solution leveraging...
Front End Developer - React.js | Angular | Vue.js | HTML | CSS | Node.js | Full Stack Developer,"IT Services and IT Consulting • dhaka, dhaka",1K followers,...network of dedicated clients. Former software engineer looking for an opportunity to use my knowledge of mobile application development and machine learning...
GizanTech,Software Development • Rajshahi,1K followers,"Founded in December 2022, GizanTech is an innovative software company specializing in custom technological solutions."
Fara IT Limited - Website & Software Development Company,"Information Technology & Services • Dhaka, Mirpur",866 followers,...Engine Friendly customized website.   Our premium services includes: 1. Website Design & Development 2. Mobile App Development for IOS and Android 2. Software...
ThemeBracket,"IT Services and IT Consulting • Kushtia, Khulna",1K followers,"ThemeBracket is not a company but a team founded in Software Development 2022, high tech innovative IT consultancy dealing with web and mobile development. We..."
Symphony Softtech Ltd.,"Software Development • Dhaka, Dhaka",1K followers,Symphony Softtech Ltd. is a private limited software development and associated service provider Company operating the business in Bangladesh market since 1999. We are the member of the Bangladesh Association of Software & Information Services (BASIS) The International ERP software we have introduced in the Bangladesh...
MaanRishfa IT Solutions,"IT Services and IT Consulting • khulna, Noapara,Abhoynogor,jessore",1K followers,"...and mobile development, software engineering, cloud services, network infrastructure, and IT infrastructure management"
Unisoft Systems Limited,IT Services and IT Consulting • Dhaka,1K followers,"...VAT software solution in Bangladesh. Additionally, Unisoft™ has been custom developing software solutions for many local and international customers. In..."
Webermelon,IT Services and IT Consulting • London,1K followers,"Webermelon is a website & software development company for your SaaS, PaaS and WordPress websites. We have developed 80+ websites and Web Applications for Human Resources, Marketing & Advertising, Real Estate, E-Commerce, Pharma, Manufacturing and Software product industries. We have million dollar valued startups in..."
LiiLab,Software Development • Sylhet,1K followers,"A software company specializes in Mobile Application, Game Development and Web Development. Founded in 2014 LII Lab is expanding it's reach to other areas as well. More and more great people are coming together to make great things . LII Lab is giving them the freedom and the means that they want with which they can..."
New Sun Institute of IT,"Education Administration Programs • Dhaka, Dhaka",723 followers,New Sun Institute of IT is a modern computer training center and software research institute. We are committed to make skilled manpower for the young and future generation in our country. New Sun Institute of IT has a modern computer lab and a group of highly skilled trainer and designer who can give high class...
DaySpring Limited,"Education Management • Dhaka , DaySpring Office",1K followers,"DaySpring Limited is a knowledge technology company where knowledge is cultivated. We are an emerging ICT training, consulting and software development firm. The first PMI R.E.P. in Bangladesh and having 10+ years of project management training and consulting experience.   DaySpring provides flexible training..."
Kiu Global,"Information Technology & Services • Hong Kong, Hong Kong",830 followers,"...company. In 2016, we pioneered the idea of software in the cloud for the emerging markets, creating a whole new economy. As supported by a project named Business Initiative Mekong of the Asian Development Bank (ADB) and Government of Australia, Kiu creates impact for the base of the pyramid in the ASEAN region through..."
Pioneer Alpha,"Software Development • Dhaka, Bangladesh",1K followers,Pioneer Alpha is an R&D-based emerging computer software company in Bangladesh.
Radisson Digital Technologies Ltd.,IT Services and IT Consulting • Dhaka,1K followers,"Radisson Digital Technologies Limited is a Bangladeshi IT and software solutions company which works in the various domains of software, web development and IT solutions and offers robust high quality solutions for wide range of platforms. A few graduate students from Bangladesh were motivated by this theme and dreamt..."
